Codigo Pais,Region,Año,Tasa de natalidad,Tasa de mortalidad,Consumo de energía eléctrica (kWh per cápita),PIB (USD),PIB per cápita (USD),Personas que utilizan Internet (% de la población),Tasa de mortalidad infantil,Esperanza de vida al nacer (años),Densidad de población (habitantes por km2 de superficie terrestre),Desempleo (% de la fuerza laboral total)
9,5,2004,24.742,6.322,165.308,65108500000.0,475.292,0.199036,52.9,67.331,73.6825,4.302
9,5,2003,25.439,6.444,129.392,60158900000.0,446.311,0.163878,55.4,66.886,73.6825,4.32
9,5,2002,26.132,6.574,122.986,54724100000.0,413.08,0.13992,58.1,66.43,73.6825,3.961
9,5,2001,26.818,6.717,115.145,53991300000.0,415.034,0.129808,60.9,65.956,73.6825,3.551
9,5,2000,27.493,6.883,104.608,53369800000.0,418.069,0.0710394,63.9,65.447,73.6825,3.27
9,5,1999,28.158,7.082,97.1646,51270600000.0,409.543,0.0361704,67.0,64.881,73.6825,3.095
9,5,1998,28.821,7.321,88.8144,49984600000.0,407.429,0.00368481,70.2,64.25,73.6825,2.83
9,5,1997,29.493,7.603,83.7463,48244300000.0,401.499,0.000751046,73.6,63.553,73.6825,2.685
10,0,2014,12.5,12.8,3679.98,78813800000.0,8318.51,59.02,3.2,72.9707,46.6787,5.893
10,0,2013,12.5,13.2,3648.32,75528000000.0,7978.87,54.17,3.4,72.4707,46.6517,5.935
10,0,2012,12.2,13.4,3697.4,65685100000.0,6940.16,46.91,3.6,71.9659,46.6438,6.038
10,0,2011,11.5,14.3,3628.46,61757800000.0,6519.23,39.6489,3.9,70.5537,46.6866,6.075
10,0,2010,11.4,14.5,3563.64,58665100000.0,6181.4,31.8,4.2,70.4049,46.7747,6.061
10,0,2009,11.4,14.1,3298.7,50874100000.0,5351.36,27.43,4.6,70.4073,46.8729,6.1
10,0,2008,11.1,13.8,3481.74,60763500000.0,6377.37,23.0,5.0,70.4561,46.959,6.122
10,0,2007,10.7,13.7,3393.91,45277400000.0,4735.66,19.7,5.5,70.2073,47.1215,6.781
10,0,2006,9.9,14.2,3365.98,36954300000.0,3847.43,16.2,6.0,69.4049,47.3382,7.605
10,0,2002,8.9,14.8,3000.75,14594200000.0,1479.31,8.95097,8.4,68.0561,48.6395,10.893
10,0,2001,9.2,14.1,3009.4,12354800000.0,1244.37,4.30062,9.1,68.5073,48.9477,11.314
10,0,2000,9.4,13.5,2996.31,12736900000.0,1276.29,1.8604,9.9,68.9122,49.1994,11.942
10,0,1999,9.3,14.2,3005.36,12138500000.0,1210.61,0.494881,10.7,67.9073,49.4318,12.8
10,0,1998,9.2,13.6,3016.29,15222000000.0,1511.77,0.0738689,11.3,68.4073,49.6401,14.0
10,0,1997,8.9,13.5,2953.05,14128400000.0,1396.5,0.0490209,11.9,68.461,49.8768,17.1
10,0,1996,9.4,13.1,2806.5,14756800000.0,1452.45,0.0292983,12.2,68.5122,50.0887,6.854
10,0,1995,9.9,13.1,2789.97,13972700000.0,1370.68,0.00292125,12.4,68.461,50.2564,17.7
10,0,1994,10.8,12.7,3068.35,14932000000.0,1460.06,0.000485951,12.4,68.7683,50.419,12.8
11,0,2014,11.2,9.3,7709.12,45810600000.0,4351.89,85.0,3.3,81.2878,73.6825,8.523
11,0,2013,11.3,9.8,7989.67,45810600000.0,4351.89,82.1702,3.4,80.5878,73.6825,8.425
11,0,2012,11.5,9.8,7988.52,498000000000.0,4351.89,80.72,3.5,80.3854,73.6825,7.542
11,0,2011,11.7,9.4,8028.8,45810600000.0,4351.89,81.61,3.5,80.5854,73.6825,7.14
11,0,2010,11.9,9.7,8393.95,484000000000.0,4351.89,75.0,3.6,80.1829,73.6825,8.292
11,0,2009,11.8,9.6,7903.96,485000000000.0,4351.89,70.0,3.7,80.0341,73.6825,7.908
11,0,2008,11.9,9.8,8521.5,45810600000.0,4351.89,66.0,3.8,79.6805,73.6825,6.976
11,0,2007,11.7,9.5,8614.68,472000000000.0,4351.89,64.44,3.8,79.7829,73.6825,7.458
11,0,2006,11.6,9.6,8683.67,410000000000.0,38852.4,59.72,3.9,79.3805,73.6825,8.246
11,0,2005,11.4,9.9,8510.0,387000000000.0,36967.3,55.82,4.0,78.9805,73.6825,8.44
11,0,2004,11.3,9.7,8576.22,371000000000.0,35589.7,53.86,4.1,78.878,73.6825,7.363
11,0,2003,11.0,10.3,8411.9,319000000000.0,30743.9,49.97,4.3,78.1293,73.6825,7.68
11,0,2002,10.9,10.2,8311.89,259000000000.0,25052.3,46.33,4.4,78.0756,73.6825,6.91
11,0,2001,11.2,10.1,8267.19,238000000000.0,23121.6,31.2884,4.6,77.9732,73.6825,6.177
11,0,2000,11.4,10.2,8247.68,238000000000.0,23207.4,29.4317,4.8,77.722,73.6825,6.586
12,2,2014,37.831,9.481,100.225,9707430000.0,943.675,6.0,65.7,60.345,91.2278,2.541
12,2,2013,38.219,9.628,96.7556,9157360000.0,915.316,4.9,67.0,60.092,88.7246,2.666
12,2,2012,38.591,9.775,93.1213,8152550000.0,837.943,4.5,68.2,59.842,86.2828,2.735
12,2,2011,38.945,9.928,91.5353,7814080000.0,825.94,4.14832,69.5,59.59,83.9024,2.646
12,2,2010,39.278,10.094,95.4425,6970240000.0,757.696,3.13,70.8,59.318,81.5826,1.04
12,2,2009,39.59,10.282,87.8732,7097200000.0,793.452,2.24,72.0,59.009,79.3252,0.967
12,2,2008,39.884,10.497,86.3524,7132790000.0,820.151,1.85,73.2,58.654,77.1277,0.788
12,2,2007,40.167,10.739,79.7181,5969540000.0,706.053,1.79,74.6,58.255,74.9804,0.732
